Added,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,Asin,Isbn 10,Isbn 13,Summary,People Also Bought,Store Page Url,Sample,Web Player,Cover,Search In Goodreads
1505,Munro,Munro,Immortals After Dark (book 19),19,"Coming off torture at the hands of his warlock captors, Munro MacRieve never expected to find his mate or to lose her just as abruptly. Driven to desperation, the ruthless warrior uses his enemies’ own powers to reunite with her - in the distant past....",Kresley Cole,Robert Petkoff,"Fantasy, Paranormal",Romance > Fantasy,Romance,Fantasy,13h 21m,,2022-01-25,Valkyrie Press,,4.9,114,,Unabridged Audiobook,English,available,,,,,,,B09QT7RMFP,,,"<p><b>The next stand-alone installment in the electrifying Immortals After Dark series by number one</b><b><i> New York Times </i></b><b>best-selling author Kresley Cole. Venture deeper into the lore, the fierce realm of the immortals - if you dare....</b></p> <p><b>Tormented in unimaginable ways.</b></p> <p>Coming off torture at the hands of his warlock captors, Munro MacRieve never expected to find his mate or to lose her just as abruptly. Driven to desperation, the ruthless warrior uses his enemies’ own powers to reunite with her - in the distant past.</p> <p><b>Stolen from her time.</b>&nbsp;</p> <p>When a crazed werewolf crashes her wedding, Kereny “Ren” Codrina does what any cunning huntress would do: <i>She</i> captures <i>him</i>. Yet she finds herself softening toward the wounded beast - until he turns the tables and forces her into an incomprehensible future.&nbsp;</p> <p><b>Can a human and an immortal unite in order to survive?</b></p> <p>As danger mounts, Munro will do anything to make her undying, even sell his soul to an evil sorceress. But first he must convince his fiery mate that she belongs with him. If seduction means her survival, Munro will use every weapon in his arsenal to possess her - forever.</p>","The Darkest Destiny, Heartless, The Jackal, The Lasaran, The Girl in the Mist, Judgment Road, Fated, Claimed, A Heart of Blood and Ashes, Claimed, The Amazon's Curse, Valen",https://audible.com/pd/B09QT7RMFP?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/acx0/294932/bk_acx0_294932_sample.mp3,https://www.audible.com/webplayer?asin=B09QT7RMFP,https://m.media-amazon.com/images/I/515jBTW9zQL._SL500_.jpg,https://www.goodreads.com/search?q=Kresley%20Cole%20-%20Munro
1504,The First Girl Child: The Chronicles of Saylok,The First Girl Child,The Chronicles of Saylok (book 1),1,"Bayr of Saylok, bastard son of a powerful and jealous chieftain, is haunted by the curse once leveled by his dying mother. Bartered, abandoned, and rarely loved, she plagued the land with her words: From this day forward, there will be no daughters in Saylok....",Amy Harmon,Rob Shapiro,"Fantasy, Historical, Epic, Fairy Tales",Romance > Fantasy,Romance,Fantasy,"14h 32m ",Finished,2019-08-20,Brilliance Audio,,4.6,2993,,Unabridged Audiobook,English,available,true,,,,,,172138698X,,,"<p><b>From the </b><b><i>New York Times</i></b><b> bestselling author comes a breathtaking fantasy of a cursed kingdom, warring clans, and unexpected salvation.</b></p> <p>Bayr of Saylok, bastard son of a powerful and jealous chieftain, is haunted by the curse once leveled by his dying mother. Bartered, abandoned, and rarely loved, she plagued the land with her words: <i>From this day forward, there will be no daughters in Saylok</i>.</p> <p>Raised among the Keepers at Temple Hill, Bayr is gifted with inhuman strength. But he’s also blessed with an all-too-human heart that beats with one purpose: to protect Alba, the first girl child born in nearly two decades and the salvation for a country at risk.</p> <p>Now the fate of Saylok lies with Alba and Bayr, whose bond grows deeper with every whisper of coming chaos. Charged with battling the enemies of their people, both within and without, Bayr is fueled further by the love of a girl who has defied the scourge of Saylok.</p> <p>What Bayr and Alba don’t know is that they each threaten the king, a greedy man who built his throne on lies, murder, and betrayal. There is only one way to defend their land from the corruption that has overtaken it. By breaking the curse, they could defeat the king…but they could also destroy themselves.</p>","The Second Blind Son, Making Faces, What the Wind Knows, The Bird and the Sword, The Songbook of Benny Lament, Where the Lost Wander, The Invisible Life of Addie LaRue, The Witches of Eileanan, The Law of Moses, Running Barefoot, From Sand and Ash, A Different Blue, Infinity + One, A Shadow in the Ember, The Rage of Dragons, A Ruin of Roses, The Lost Queen, Spinning Silver",https://audible.com/pd/172138698X?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/brll/012090/bk_brll_012090_sample.mp3,https://www.audible.com/webplayer?asin=172138698X,https://m.media-amazon.com/images/I/51TGAUQ+mtL._SL500_.jpg,https://www.goodreads.com/search?q=Amy%20Harmon%20-%20The%20First%20Girl%20Child
1503,Riley Thorn and the Corpse in the Closet,Riley Thorn and the Corpse in the Closet,Riley Thorn (book 2),2,"Summer is heating up for reluctant psychic Riley Thorn and her handsome private investigator boyfriend, Nick Santiago. First, her disapproving grandmother arrives determined to make Riley take her powers seriously or face the wrath of “the Guild”....",Lucy Score,Natalie Duke,"Contemporary, Romantic Comedy",Romance > Contemporary,Romance,Contemporary,"11h 39m ",Finished,2021-08-25,"That's What She Said Publishing, Inc.",,4.8,291,,Unabridged Audiobook,English,available,,,,true,,,B09DLDLC62,,,"<p>Summer is heating up for reluctant psychic Riley Thorn and her handsome private investigator boyfriend, Nick Santiago. First, her disapproving grandmother arrives determined to make Riley take her powers seriously or face the wrath of “the Guild”. Then there’s the homicide detective, who needs her help figuring out who murdered the well-dressed corpse in the walk-in closet.</p> <p>Nick’s got his own hands full with a tricky missing person case, and his parents who want to know why he didn’t tell them about his live-in girlfriend. Then there’s the fact that he’s still the tiniest bit stressed about Riley almost getting murdered earlier that summer. The last thing he wants is her getting involved in another investigation.</p> <p>Things go from bad to worse when the body count starts stacking up, the meet-the-parents dinner goes horribly wrong, and their elderly roommate is up to no good...dressed like a mime.</p> <p>To top it off, Riley is forced to return to Channel 50 on official police business to question her spray-tanned news anchor ex-husband and his new weather girl fiancée.</p> <p>The trouble comes to a head when Riley receives a warning from the killer: Back off, or she’s next. Someone has to solve these murders before she becomes the next corpse.</p>","No More Secrets, Forever Never, By a Thread, Rock Bottom Girl: A Small Town Romantic Comedy, The Christmas Fix, Whiskey Chaser, Undercover Love, Crossing the Line, Heart of Hope, Mr. Fixer Upper, The Girl in the Mist, Bad Cruz, A Not So Meet Cute, The Worst Best Man, The Price of Scandal, Pretend You're Mine, Protecting What's Mine, Finally Mine: A Small Town Love Story",https://audible.com/pd/B09DLDLC62?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/acx0/275455/bk_acx0_275455_sample.mp3,https://www.audible.com/webplayer?asin=B09DLDLC62,https://m.media-amazon.com/images/I/51aQ2mfxrrL._SL500_.jpg,https://www.goodreads.com/search?q=Lucy%20Score%20-%20Riley%20Thorn%20and%20the%20Corpse%20in%20the%20Closet
1502,"Where the Drowned Girls Go: Wayward Children, Book 7",Where the Drowned Girls Go,Wayward Children (book 7),7,"In Where the Drowned Girls Go, the next addition to Seanan McGuire's beloved Wayward Children series, students at an anti-magical school rebel against the oppressive faculty....",Seanan McGuire,Whitney Johnson,"Fantasy, Fairy Tales, Contemporary",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,4h 31m,,2022-01-04,Macmillan Audio,,4.6,121,,Unabridged Audiobook,English,available,,,,,,,1250841240,,,"<p><b>In </b><b><i>Where the Drowned Girls Go</i></b><b>, the next addition to Seanan McGuire's beloved Wayward Children series, students at an </b><b><i>anti-</i></b><b>magical school rebel against the oppressive faculty.</b></p> <p><i>""Welcome to the Whitethorn Institute. The first step is always admitting you need help, and you’ve already taken that step by requesting a transfer into our company."" </i></p> <p>There is another school for children who fall through doors and fall back out again.&nbsp;</p> <p>It isn't as friendly as Eleanor West's Home for Wayward Children.&nbsp;</p> <p>And it isn't as safe.&nbsp;</p> <p>When Eleanor West decided to open her school, her sanctuary, her ""Home for Wayward Children"", she knew from the beginning that there would be children she couldn’t save; when Cora decides she needs a different direction, a different fate, a different <i>prophecy</i>, Miss West reluctantly agrees to transfer her to the other school, where things are run very differently by Whitethorn, the Headmaster.&nbsp;</p> <p>She will soon discover that not all doors are welcoming....</p> <p><b>A Macmillan Audio production from Tordotcom</b></p>","Over the Woodward Wall, Comfort Me with Apples, A History of Wild Places, Middlegame, A Psalm for the Wild-Built, She Who Became the Sun, Under the Whispering Door, Evershore, Alternate Routes, In Every Generation, The Sandman: Act II, A Wizard's Guide to Defensive Baking, Tiger Honor, Ambush or Adore, A Gilded Cage, Saint of Steel Series # 1, The Past Is Red, Cursed Luck",https://audible.com/pd/1250841240?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/aren/005520/bk_aren_005520_sample.mp3,https://www.audible.com/webplayer?asin=1250841240,https://m.media-amazon.com/images/I/51l5f0nFfqL._SL500_.jpg,https://www.goodreads.com/search?q=Seanan%20McGuire%20-%20Where%20the%20Drowned%20Girls%20Go
1501,"A Farewell to Charms: Mystic Bayou, Book 6",A Farewell to Charms,Mystic Bayou (book 6),6,"Eva Boudreaux keeps the truth about her life before arriving in Mystic Bayou a carefully guarded secret, flying under the radar as a talented boat mechanic....",Molly Harper,"Jonathan Davis, Amanda Ronconi",,Romance > Paranormal,Romance,Paranormal,"7h 26m ",Finished,2022-01-13,Audible Originals,,4.7,1422,,Original Recording Audiobook,English,,true,,,,,,B09PPH685M,,,"<p><b>Queen of paranormal romantic comedy Molly Harper delivers love and laughter in this magnificent series finale - available in audio first!</b>&nbsp;</p> <p>Eva Boudreaux keeps the truth about her life before arriving in Mystic Bayou a carefully guarded secret, flying under the radar as a talented boat mechanic. In the swampy little town filled with powerful supernatural beings, Eva never expected to strike up a charged flirtation with one of the Bayou’s human residents.&nbsp;</p> <p>Alex Lancaster is far too polished for Eva’s taste - not to mention the danger that comes with his high-ranking position in the League, which could expose her secrets. Trouble is, she can’t resist his disarming sense of humor or the chemistry that crackles to life whenever he’s near. Will Alex be able to handle a woman like her? Or will her difficult past keep them apart?&nbsp;</p> <p>Either way, they’ll need to join forces to solve one final mystery in Mystic Bayou. The fate of the town - and their hearts - depends upon it.</p>","Betwixt, Pasties and Poor Decisions, The Trouble with Witches, Sleigh Spells, Gimme Some Sugar, Snow Falling on Bluegrass, I Loved You First, Witchy Whiskers, The Girl in the Mist, One for the Money, Louisiana Longshot, A Grave Girls’ Getaway, I Dream of Twila, Murder's a Witch, That Touch of Magic, Magical Midlife Madness, Sucks to Be Me, Lost in Las Vegas",https://audible.com/pd/B09PPH685M?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/or/orig/001305/or_orig_001305_sample.mp3,https://www.audible.com/webplayer?asin=B09PPH685M,https://m.media-amazon.com/images/I/51z0k552oRL._SL500_.jpg,https://www.goodreads.com/search?q=Molly%20Harper%20-%20A%20Farewell%20to%20Charms
1500,The Nate Temple Series: Books 4-6: The Nate Temple Series Boxsets Book 2,The Nate Temple Series: Books 4-6,Nate Temple Series (book 4-6),4-6,"Almost 1,000 pages of lightning-paced action. The next three stories in the series listeners are describing as ""The new Harry Dresden,"" or ""Deadpool meets Dumbledore""....",Shayne Silvers,Joel Richards,"Anthologies & Short Stories, Fantasy, Paranormal",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"39h 50m ",Finished,2020-02-26,"Argento Publishing, LLC",,4.8,395,,Unabridged Audiobook,English,available,,,,true,,,B0855JC3VH,,,"<p><b>Over 500,000 copies sold. Dragon award nominated author</b></p> <p>Includes books 4-6</p> <p>Almost 1,000 pages of lightning-paced action. The next three stories in the series listeners are describing as ""The new Harry Dresden,"" or ""Deadpool meets Dumbledore"".</p> <p><b><i>Silver Tongue</i></b><b> (Book 4)</b></p> <p>Reputations can get a guy killed by all sorts of nasties. But I never thought I’d find myself at a crossroads, a pawn in a deadly game that I hadn’t known existed, willing to sell my soul to save the life of someone I loved…That’s when I learned true fear, because the world I thought I knew was all just smoke and mirrors, and I was just a puppy playing amongst wolves…</p> <p><b>Beast Master (Book 5)</b></p> <p>What do you do for Thanksgiving dinner entertainment when your guests are Death, an angel, a vampire, Achilles, and a slew of other monsters? You have a nerf gun war, of course...</p> <p>But the Queens of Fae want to crash my party. And the Beast Master has come to town, abducting shifter children to use as cannon fodder for his twisted Monster Circus.</p> <p><b>Tiny Gods (Book 6)</b></p> <p>To prevent a Shifter vs. Wizard War, I step in to draw a line in the sand, picking a fight with the deadliest magic slingers on the planet...and then I try to rob them.</p> <p>But when my enemies decide to wake a god, the only way for me to level the playing field is to open an early birthday present from the Mad Hatter...And that’s when I find out that nothing is ever simple, and that no one was ever who I thought they were all these years...</p>","Silver Tongue, Vesik, Unsouled, The Phantom Queen Diaries: Books 1-3, Devil's Dream, Demon Moon, Junkyard Druid Books 1-4: An Urban Fantasy Box Set, Max Abaddon and the Dark Carnival, To Kill a Unicorn, Junkyard Druid, Skinwalker, Monster Hunter International, I’m Glad You’re Dead, The Terminal List, Sins of the Father Omnibus 2, Blood, Sweat, & Tears, Year One, He Who Fights with Monsters: A LitRPG Adventure",https://audible.com/pd/B0855JC3VH?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/acx0/184490/bk_acx0_184490_sample.mp3,https://www.audible.com/webplayer?asin=B0855JC3VH,https://m.media-amazon.com/images/I/51wJgq2yOML._SL500_.jpg,https://www.goodreads.com/search?q=Shayne%20Silvers%20-%20The%20Nate%20Temple%20Series%3A%20Books%204-6
1499,"Godless: Feathers and Fire, Book 7",Godless,Feathers and Fire Series (book 7),7,"Slaughter is the best medicine. Callie Penrose is back to murder vampires and chew bubblegum. And she’s all out of bubblegum. Callie has had a rough few days. Five minutes after discovering she had a Godfather, she learned that the future of the world depended on the two of them....",Shayne Silvers,Nicole Poole,"Fantasy, Paranormal",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,7h 11m,,2019-08-15,"Argento Publishing, LLC",,4.8,616,,Unabridged Audiobook,English,available,,,,true,,,B07WGJ4LK4,,,"<p>Slaughter is the best medicine.</p> <p>Callie Penrose is back to murder vampires and chew bubblegum. And she’s all out of bubblegum.</p> <p>Callie has had a rough few days. Five minutes after discovering she had a Godfather, she learned that the future of the world depended on the two of them taking an immediate road trip.</p> <p>To Castle Dracula - a place even the supernatural community believed to be an urban myth, dead and abandoned long ago when Dracula had perished at the hands of Van Helsing, Mina, and Jonathan Harker.</p> <p>Except...Dracula and his castle were alive and well. Worse, he had been secretly running the Sanguine Council - the governmental body of every vampire in the world - ever since his alleged death, with none the wiser. Not even the vampires.</p> <p>And Callie’s first Godfather-daughter dance was to go assassinate the Sultan of Suck once and for all.</p> <p>But she soon learns that Dracula is the absolute least of her concerns. And that some bonds should never be forged. Because once made, they can never be broken....</p> <p>Callie Penrose is about to show the world fear in a palmful of blood.</p> <p>If you like Jim Butcher, Kevin Hearne, Steve McHugh, Michael Anderle, Ilona Andrews, Patricia Briggs, Shannon Mayer, or K.F. Breene, you won't be able to put down the highly addictive Feathers and Fire Series, or anything else in the Temple Verse.</p> <p>“Shayne Silvers, Jim Butcher, and Kevin Hearne are easily my favorite urban fantasy authors. In that order.” (Michael Anderle, Amazon top 25 bestselling author)</p> <p><b>More than 1,000,000 copies downloaded and thousands of five-star reviews. Available in digital, print, and audiobook formats.</b></p>","Anghellic, Whiskey Ginger, Devil's Dream, Kingdom of Storms, Keystone, Magical Midlife Madness, The Vow, Skinwalker, I’m Glad You’re Dead, Demon Moon, Wolf Bite, Hidden, Junkyard Druid Books 1-4: An Urban Fantasy Box Set, House of Earth and Blood, To Kill a Unicorn, Warbreaker, Year One, Daizlei Academy: Completed Series",https://audible.com/pd/B07WGJ4LK4?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/acx0/161006/bk_acx0_161006_sample.mp3,https://www.audible.com/webplayer?asin=B07WGJ4LK4,https://m.media-amazon.com/images/I/512aDZYtLNL._SL500_.jpg,https://www.goodreads.com/search?q=Shayne%20Silvers%20-%20Godless
1498,The Nate Temple Series: Books 0-3: The Nate Temple Series Boxset Book 1,The Nate Temple Series: Books 0-3,Nate Temple Series (book 0-3),0-3,"The first three novels and the prequel novella in the million-selling Nate Temple Series: Obsidian Son, Blood Debts, Grimm, and Fairy Tale....",Shayne Silvers,Joel Richards,"Classics, Fantasy, Urban",Literature & Fiction > Classics,Literature & Fiction,Classics,"41h 37m ",Finished,2020-02-26,"Argento Publishing, LLC",,4.6,655,,Unabridged Audiobook,English,available,,,,true,,,B0854RN45Z,,,"<p><b>The first three novels and the prequel novella in the million-selling Nate Temple Series: </b><b><i>Obsidian Son</i></b><b>, </b><b><i>Blood Debts</i></b><b>, </b><b><i>Grimm</i></b><b>, and </b><b><i>Fairy Tale</i></b><b>.</b></p> <p>My name is Nate Temple, and I’m secretly a wizard.</p> <p>I ride a foul-mouthed unicorn, I drink with Achilles, and I’m pals with the Four Horsemen. I’ve even cow-tipped the Minotaur. I understand the theory of following the rules...I’m just not very good at the application.</p> <p>Because rules were meant to be broken, and St. Louis has a bit of a supernatural infestation these days. Someone should probably be keeping an eye on these things -and probably an eye on me, too. Before I blow up another building...or three.</p>","Obsidian Son, Junkyard Druid Books 1-4: An Urban Fantasy Box Set, The Phantom Queen Diaries: Books 1-3, Devil's Dream, Unsouled, Demon Moon, Max Abaddon and the Dark Carnival, Junkyard Druid, Hidden, Vesik, Storm Front, I’m Glad You’re Dead, The War Mage, He Who Fights with Monsters: A LitRPG Adventure, A Court of Thorns and Roses, Sins of the Father Omnibus, Ritualist, Druid's Folly",https://audible.com/pd/B0854RN45Z?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/acx0/184488/bk_acx0_184488_sample.mp3,https://www.audible.com/webplayer?asin=B0854RN45Z,https://m.media-amazon.com/images/I/51I8y-v98tL._SL500_.jpg,https://www.goodreads.com/search?q=Shayne%20Silvers%20-%20The%20Nate%20Temple%20Series%3A%20Books%200-3
1497,"Feathers and Fire Series: Books 4-6: Feathers and Fire Series Boxsets, Book 2",Feathers and Fire Series: Books 4-6,Feathers and Fire Series (book 4-6),4-6,Who is Callie Penrose? They say she’s been kissed by heaven - whatever the hell that means. Because Callie was orphaned on the steps of a church in Kansas City and doesn’t know her parents. She starts out as a rookie wizard who hunts monsters for the Vatican....,Shayne Silvers,Nicole Poole,"Fantasy, Epic, Paranormal",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"29h 57m ",Finished,2019-10-31,"Argento Publishing, LLC",,4.7,416,,Unabridged Audiobook,English,available,,,,true,,,B07ZQNTSYS,,,"<p><b>Callie Penrose returns in the second omnibus collection of adventures in the million-selling Feathers and Fire series: </b><b><i>Angel’s Roar</i></b><b>, </b><b><i>Black Sheep</i></b><b>, and </b><b><i>Sinner </i></b><b>(books four, five, and six).</b></p> <p>""Kevin Hearne, Jim Butcher, K.F. Breene and now Shayne Silvers has been added to my favorite Urban Fantasy Authors list."" (Michael Anderle, Amazon Top 25 best-selling author)</p> <p><b>Who is Callie Penrose?</b></p> <p>They say she’s been kissed by heaven - whatever the hell that means. Because Callie was orphaned on the steps of a church in Kansas City and doesn’t know her parents. She starts out as a rookie wizard who hunts monsters for the Vatican. Except...ironically, she’s never been a churchy kind of girl, and she quickly learns that monsters can reside <i>anywhere</i>.</p> <p>Even among the most devout.</p> <p>Get ready for Callie to take you on a gripping adventure into a new kind of Sunday school. Be on your best behavior, because she won’t crack a ruler over your knuckles to teach you a lesson - more like whips of fire and brimstone to your face.</p> <p>Hell hath no fury like Callie Penrose. And that’s before she discovers her strange childhood ties to a jerk named Nate Temple in St. Louis....</p> <p><b>If you like Jim Butcher, Sarah J. Maas, Kevin Hearne, Steve McHugh, Michael Anderle, Ilona Andrews, Patricia Briggs, Shannon Mayer, or K. F. Breene, you won't be able to put down the highly addictive Feathers and Fire series. More than one million copies downloaded and thousands of five-star reviews. Available in digital, print, and audiobook formats.</b></p>","Angel's Roar, The Phantom Queen Diaries: Books 1-3, Devil's Dream, The Vow, Magical Midlife Madness, Keystone, Kingdom of Storms, Skinwalker, Demon Moon, A Ruin of Roses, Midlife Bounty Hunter, Wolf Bite, I’m Glad You’re Dead, Junkyard Druid Books 1-4: An Urban Fantasy Box Set, Something in the Water, Max Abaddon and the Dark Carnival, He Who Fights with Monsters: A LitRPG Adventure, To Kill a Unicorn",https://audible.com/pd/B07ZQNTSYS?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/acx0/170005/bk_acx0_170005_sample.mp3,https://www.audible.com/webplayer?asin=B07ZQNTSYS,https://m.media-amazon.com/images/I/61UmSJCJJfL._SL500_.jpg,https://www.goodreads.com/search?q=Shayne%20Silvers%20-%20Feathers%20and%20Fire%20Series%3A%20Books%204-6
1496,Feathers and Fire Series: Books 1 - 3,Feathers and Fire Series: Books 1 - 3,Feathers and Fire Series (book 1-3),1-3,"Who is Callie Penrose? They say she’s been kissed by Heaven - whatever the Hell that means. Because Callie was orphaned on the steps of a church in Kansas City, and doesn’t know her parents. She starts out as a rookie wizard who hunts monsters for the Vatican....",Shayne Silvers,Nicole Poole,"Fantasy, Paranormal",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"28h 31m ",Finished,2019-10-28,"Argento Publishing, LLC",,4.6,551,,Unabridged Audiobook,English,available,,,,true,,,B07ZPDSWNC,,,"<p><b>The first three adventures in the million-selling Feathers and Fire series: </b><b><i>Unchained</i></b><b>, </b><b><i>Rage</i></b><b>, and </b><b><i>Whispers</i></b><b>. </b></p> <p>""Kevin Hearne, Jim Butcher, K.F. Breene, and now Shayne Silvers has been added to my favorite Urban Fantasy Authors list."" (Michael Anderle, Amazon Top 25 best-selling author)&nbsp;</p> <p><b>Who is Callie Penrose?</b></p> <p>They say she’s been kissed by Heaven - whatever the Hell that means. Because Callie was orphaned on the steps of a church in Kansas City, and doesn’t know her parents. She starts out as a rookie wizard who hunts monsters for the Vatican. Except…ironically, she’s never been a churchy kind of girl, and she quickly learns that monsters can reside <i>anywhere</i>.&nbsp;</p> <p>Even among the most devout.&nbsp;</p> <p>Get ready for Callie to take you on a gripping adventure into a new kind of Sunday School. Be on your best behavior, because she won’t crack a ruler over your knuckles to teach you a lesson - more like whips of fire and brimstone to your face.&nbsp;</p> <p>Hell hath no fury like Callie Penrose. And that’s before she discovers her strange childhood ties to a jerk named Nate Temple in St. Louis....</p> <p><b>If you like Jim Butcher, Sarah J. Maas, Kevin Hearne, Steve McHugh, Michael Anderle, Ilona Andrews, Patricia Briggs, Shannon Mayer, or K.F. Breene, you won't be able to put down the highly addictive Feathers and Fire series.</b></p>","The Phantom Queen Diaries: Books 1-3, Devil's Dream, Magical Midlife Madness, The Vow, Keystone, Demon Moon, Into the Darkness, A Ruin of Roses, Kingdom of Storms, Wolf Bite, Max Abaddon and the Dark Carnival, Junkyard Druid Books 1-4: An Urban Fantasy Box Set, He Who Fights with Monsters: A LitRPG Adventure, The Land: Founding: A LitRPG Saga, I’m Glad You’re Dead, God's Eye: Awakening: A Labyrinth World LitRPG Novel, Year One, Kiss of Death",https://audible.com/pd/B07ZPDSWNC?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/acx0/169804/bk_acx0_169804_sample.mp3,https://www.audible.com/webplayer?asin=B07ZPDSWNC,https://m.media-amazon.com/images/I/61jMeY4eRxL._SL500_.jpg,https://www.goodreads.com/search?q=Shayne%20Silvers%20-%20Feathers%20and%20Fire%20Series%3A%20Books%201%20-%203
