Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17450558,"Decrypted (Forgotten Ages, #2)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.27,"Amazon Digital Services, Inc.",Kindle Edition,361,2013,2013,2022/01/25,2022/01/26,,,read,,,,1,,,0,,,,,
16134259,"Enigma (Forgotten Ages, #1.5)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""9781301649266""",0,4.16,Smashwords,ebook,48,2012,2012,2022/01/23,2022/01/26,,,read,,,,1,,,0,,,,,
10218438,"Encrypted (Forgotten Ages/Encrypted, #1)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.20,,Kindle Edition,350,2011,2011,2022/01/22,2022/01/26,,,read,,,,1,,,0,,,,,
43078423,The First Girl Child,Amy Harmon,"Harmon, Amy",,"=""1721386963""","=""9781721386963""",5,4.27,Brilliance Audio,Audio CD,391,2019,2019,2022/01/22,2022/01/22,,,read,,,,1,,,0,,,,,
57622797,A Terrible Fall of Angels,Laurell K. Hamilton,"Hamilton, Laurell K.",,"=""1984804464""","=""9781984804464""",0,3.83,Berkley ,Hardcover,400,2021,2021,2022/01/21,2022/01/20,,,read,,,,1,,,0,,,,,
20758068,The Ark Before Noah: Decoding the Story of the Flood,Irving Finkel,"Finkel, Irving",,"=""0385537115""","=""9780385537117""",5,3.95,Nan A. Talese,Hardcover,432,2014,2014,2022/01/20,2022/01/20,,,read,,,,1,,,0,,,,,
58516246,"Riley Thorn and the Corpse in the Closet (Riley Thorn, #2)",Lucy Score,"Score, Lucy",,"=""""","=""""",0,4.61,That's What She Said Publishing,Kindle Edition,452,2021,2021,2022/01/17,2022/01/18,,,read,,,,1,,,0,,,,,
55029958,"Riley Thorn and the Dead Guy Next Door (Riley Thorn, #1)",Lucy Score,"Score, Lucy",,"=""""","=""""",0,4.49,That's What She Said Publishing,Kindle Edition,519,2020,2020,2022/01/15,2022/01/18,,,read,,,,1,,,0,,,,,
60116771,"A Farewell to Charms (Mystic Bayou, #6)",Molly Harper,"Harper, Molly","Amanda Ronconi, Jonathan Davis","=""""","=""""",0,4.21,Audible Studios,Audiobook,,2022,,2022/01/14,2022/01/15,,,read,,,,1,,,0,,,,,
58079726,"Shifters in the Night (Mystic Bayou, #5)",Molly Harper,"Harper, Molly","Amanda Ronconi, Jonathan Davis","=""""","=""""",0,4.08,Audible Originals,Audible Audio,7,2021,2021,2021/05/21,2021/05/22,,,read,,,,2,,,0,,,,,
56222701,"One Fine Fae (Mystic Bayou, #4.5)",Molly Harper,"Harper, Molly",,"=""""","=""""",0,4.08,Audible Originals,Audible Audio,103,2020,2020,2022/01/11,2022/01/15,,,read,,,,1,,,0,,,,,
45913633,"Tiny Gods (The Temple Chronicles, #6)",Shayne Silvers,"Silvers, Shayne",,"=""""","=""""",0,4.51,"Argento Publishing, LLC",Kindle Edition,378,2019,,2022/01/09,2022/01/15,,,read,,,,1,,,0,,,,,
45891762,"Beast Master (The Temple Chronicles, #5)",Shayne Silvers,"Silvers, Shayne",,"=""""","=""""",0,4.40,"Argento Publishing, LLC",Kindle Edition,344,2019,2017,2022/01/07,2022/01/15,,,read,,,,1,,,0,,,,,
45891471,"Silver Tongue (The Temple Chronicles, #4)",Shayne Silvers,"Silvers, Shayne",,"=""""","=""""",0,4.39,"Argento Publishing, LLC",Kindle Edition,340,2016,2016,2022/01/05,2022/01/15,,,read,,,,1,,,0,,,,,
