,ASIN,title,authors,publisher,pub_date,purchase_date,textbook_type,cde_type
0,,mental floss presents Forbidden Knowledge: A Wickedly Smart Guide to History's Naughtiest Bits,"
		 Editors of Mental Floss 
	","
		 William Morrow Paperbacks 
	",2009-03-17T00:00:00+0000,2022-03-06T03:54:53+0000,,EBOK
1,,The Queen's Bargain (Black Jewels Book 10)," Bishop, Anne ", Ace ,2020-03-10T00:00:00+0000,2022-03-05T01:47:58+0000,,EBOK
2,,Shalador's Lady (Black Jewels Book 8)," Bishop, Anne ", Roc ,2010-01-25T00:00:00+0000,2022-03-05T01:47:04+0000,,EBOK
3,,Tangled Webs (Black Jewels Book 6)," Bishop, Anne ", Roc ,2008-03-04T00:00:00+0000,2022-03-05T01:42:45+0000,,EBOK
4,,The Invisible Ring (Black Jewels Book 4)," Bishop, Anne ", Roc ,2008-06-03T00:00:00+0000,2022-03-05T01:42:19+0000,,EBOK
5,,"Queen of the Darkness (Black Jewels, Book 3)"," Bishop, Anne ", Roc ,2000-01-01T00:00:00+0000,2022-03-05T01:42:03+0000,,EBOK
6,,"Heir to the Shadows (Black Jewels, Book 2)"," Bishop, Anne ", Roc ,2007-08-07T00:00:00+0000,2022-03-05T01:41:49+0000,,EBOK
7,,"Daughter of the Blood (Black Jewels, Book 1)"," Bishop, Anne ", Roc ,1998-03-01T00:00:00+0000,2022-03-05T01:41:27+0000,,EBOK
8,,The Book of Swords," Martin, George R. R.  Hobb, Robin  Lynch, Scott  Nix, Garth ", Bantam ,2017-10-10T00:00:00+0000,2022-03-04T16:56:54+0000,,EBOK
9,,Gilded Cage (Dark Gifts Book 1)," James, Vic ", Del Rey ,2017-02-14T00:00:00+0000,2022-03-04T16:51:03+0000,,EBOK
10,,Cleopatra's Dagger," Lawrence, Carole ", Thomas & Mercer ,2022-04-01T00:00:00+0000,2022-03-03T18:21:23+0000,,EBOK
11,,Becoming Dragon (Dragon Point Book 1)," Langlais, Eve ",,2017-01-03T00:00:00+0000,2022-03-02T16:45:36+0000,,EBOK
12,,Witchmark (The Kingston Cycle Book 1)," Polk, C. L. ", Tordotcom ,2018-06-19T00:00:00+0000,2022-02-24T23:33:53+0000,,EBOK
13,,Dr. Marvellus Djinn's Odd Scholars," Moore, B. Sharise "," MVmedia, LLC ",2021-05-24T00:00:00+0000,2022-02-24T23:32:37+0000,,EBOK
14,,A Lady's Formula for Love (The Secret Scientists of London Book 1)," Everett, Elizabeth ", Berkley ,2021-02-09T00:00:00+0000,2022-02-17T15:37:25+0000,,EBOK
15,,Some of the Best of Tor.com 2021: A Tor.com Original," Anderson, G. V.  Aguda, 'Pemi  Bear, Elizabeth  Elliott, Kate  Greenblatt, A. T.  Hirshberg, Glen  Jennings, Kathleen  Kamei, Cheri  Kirkbride, Jasmin  Kressel, Matthew  Malik, Usman T.  Miller, Sam J.  Newitz, Annalee  noc  Pinsker, Sarah  Polansky, Daniel  Shepherd, Peng  Shrivastava, Cooper  Tidhar, Lavie  Valente, Catherynne M.  Vaughn, Carrie  Yu, E. Lily ", Tor Books ,2022-01-25T00:00:00+0000,2022-02-13T21:14:40+0000,,EBOK
16,,The Second Blind Son (The Chronicles of Saylok)," Harmon, Amy ", 47North ,2021-07-20T00:00:00+0000,2022-02-13T19:19:44+0000,,EBOK
17,,Chronicles of a Vampire Queen: Alaskan Fang: Book 3: The Feylord," King, Sara ", Character Force Publications ,2022-02-12T10:29:45+0000,2022-02-13T19:17:47+0000,,EBOK
18,,Chronicles of a Vampire Queen: Alaskan Fang: Book 2: The Barghest," King, Sara ", Character Force Publications ,2022-02-12T08:59:32+0000,2022-02-13T18:37:07+0000,,EBOK
19,,Chronicles of a Vampire Queen: Alaskan Fang: Book 1: The Samurai," King, Sara ", Character Force Publications ,2022-02-12T08:14:27+0000,2022-02-13T18:36:09+0000,,EBOK
20,,Powers and Thrones: A New History of the Middle Ages," Jones, Dan ", Viking ,2021-11-09T00:00:00+0000,2022-02-05T06:12:01+0000,,EBOK
21,,What Doesn't Kill You Makes You Blacker: A Memoir in Essays," Young, Damon ", Ecco ,2019-03-26T00:00:00+0000,2022-02-04T15:53:52+0000,,EBOK
22,,The Quarter Storm: A Novel (Mambo Reina)," Henry, Veronica G. ", 47North ,2022-03-01T00:00:00+0000,2022-02-04T02:39:15+0000,,EBOK
23,,The Astronaut and the Star," Comfort, Jen ", Montlake ,2022-03-01T00:00:00+0000,2022-02-04T02:38:50+0000,,EBOK
24,,When Women Ruled the World: Six Queens of Egypt (NATIONAL GEOGRA)," Cooney, Kara ", National Geographic ,2018-10-30T00:00:00+0000,2022-02-01T21:01:40+0000,,EBOK
25,,Book Banning in 21st-Century America (Beta Phi Mu Scholars Series)," Knox, Emily J. M. ", Rowman & Littlefield Publishers ,2015-01-16T00:00:00+0000,2022-01-31T19:08:55+0000,professional,EBOK
26,,Stone Mad: A Karen Memory Adventure," Bear, Elizabeth ", Tordotcom ,2018-03-20T00:00:00+0000,2022-01-28T04:37:22+0000,,EBOK
27,,Grail (Jacob's Ladder Book 3)," Bear, Elizabeth ", Spectra ,2011-02-22T00:00:00+0000,2022-01-28T04:33:20+0000,,EBOK
28,,Chill (Jacob's Ladder Book 2)," Bear, Elizabeth ", Spectra ,2010-02-20T00:00:00+0000,2022-01-28T04:32:52+0000,,EBOK
29,,Dust: A Novel (Jacob's Ladder Book 1)," Bear, Elizabeth ", Spectra ,2007-12-26T00:00:00+0000,2022-01-28T04:32:10+0000,,EBOK
30,,The Poppy War: A Novel," Kuang, R. F. ", Harper Voyager ,2018-05-01T00:00:00+0000,2022-01-26T18:55:11+0000,,EBOK
31,,The Fifth Discipline: The Art & Practice of The Learning Organization," Senge, Peter M. ", Currency ,2010-03-25T00:00:00+0000,2022-01-24T16:42:35+0000,unknown,EBOK
32,,Clockwork Boys (Clocktaur War Book 1)," Kingfisher, T. ", Red Wombat Studio ,2017-11-21T00:00:00+0000,2022-01-22T17:24:49+0000,,EBOK
33,,"Coming Apart: The State of White America, 1960-2010"," Murray, Charles ", Crown Forum ,2012-01-31T00:00:00+0000,2022-01-22T17:23:49+0000,trade,EBOK
34,,"The Curmudgeon's Guide to Getting Ahead: Dos and Don'ts of Right Behavior, Tough Thinking, Clear Writing, and Living a Good Life"," Murray, Charles ", Currency ,2014-04-08T00:00:00+0000,2022-01-22T17:23:29+0000,,EBOK
35,,Drive: The Surprising Truth About What Motivates Us," Pink, Daniel H. ", Riverhead Books ,2011-04-05T00:00:00+0000,2022-01-20T21:00:00+0000,,EBOK
