"Product ID","ASIN","Book URL","Title","Author","Narrated By","Summary","Description","Duration","Ave. Rating","Rating Count","Release Date","Purchase Date","Publisher","Genre","sub_genre","Short Title","Copyright","Author URL","Download URL","File name","Key","Series URL","Series Name","Series Sequence","Link Error","Abridged","Book Language","BOOK_ELEM_IGNORED","BOOK_ELEM_PDF_URL","BOOK_ELEM_IMAGE_URL","BOOK_ELEM_DIR_PATH","BOOK_ELEM_REGION","BOOK_ELEM_CHAPTERS","BOOK_ELEM_LOCKED","BOOK_ELEM_AYCE"
"BK_BRLL_000024","B002UZJGYY","https://www.audible.com/pd/B002UZJGYY","2001 - A Space Odyssey","Arthur C. Clarke","Dick Hill","It has been 40 years since the publication of this classic science-fiction novel that changed the way we look at the stars and ourselves. From the savannas of Africa at the dawn of mankind to the rings of Saturn as man adventures to the outer rim of our solar system, <i>2001: A Space Odyssey</i> is a journey unlike any other. <p>This allegory about humanity's exploration of the universe, and the universe's reaction to humanity, was the basis for director Stanley Kubrick's immortal film, and lives on as a hallmark achievement in storytelling.</p>","From the savannas of Africa at the dawn of mankind to the rings of Saturn as man adventures to the outer rim of our solar system, <i>2001: A Space Odyssey</i> is a journey unlike any other....","06:42:00","4.531672170519363","9993","2008-04-29","2010-09-19","Brilliance Audio","Literature & Fiction:Classics","","2001","","https://www.audible.com/author/Arthur+C.+Clarke/B000APF21M","","2001","","https://www.audible.com/series/Space-Odyssey-Series-Audiobook/B008AJLBKQ","Space Odyssey Series","1","","false","english","","","https://m.media-amazon.com/images/I/41XXR992lJL._SL500_.jpg","","US","","","false"
"FR_APNS_080926","B002VA8RMK","https://www.audible.com/pd/B002VA8RMK","2008 First Presidential Debate - Barack Obama and John McCain (9/26/08)","Barack Obama, John McCain","","The first presidential debate between Republican nominee Senator John McCain and Democratic nominee Senator Barack Obama took place at the University of Mississippi in Oxford, Mississippi, on September 26, 2008. The focus of this debate was foreign policy and national security. PBS's Jim Lehrer was the moderator.","The first presidential debate between Republican nominee Senator John McCain and Democratic nominee Senator Barack Obama took place at the University of Mississippi in Oxford, Mississippi....","01:35:00","3.7041420118343193","169","2008-09-27","2010-09-19","Associated Press","Politics & Social Sciences:Politics & Government:Political Science","","2008 First Presidential Debate","","https://www.audible.com/author/Barack+Obama/B001H6OA8E","","2008 First Presidential Debate","","","","","","","english","","","https://m.media-amazon.com/images/I/61o5DgooedL._SL500_.jpg","","US","","","false"
"FR_APNS_081007","B002V0PSEA","https://www.audible.com/pd/B002V0PSEA","2008 Second Presidential Debate: Barack Obama and John McCain (10/07/08) - Barack Obama and John McCain (10/07/08)","Barack Obama, John McCain","","The second presidential debate between Republican nominee Senator John McCain and Democratic nominee Senator Barack Obama took place at Belmont University in Nashville, Tennessee, on October 7, 2008. This town hall style debate was open to all topics and Tom Brokaw moderated.","The second presidential debate between Republican nominee Senator John McCain and Democratic nominee Senator Barack Obama took place at Belmont University in Nashville, Tennessee....","01:31:00","3.6666666666666665","108","2008-10-08","2010-09-19","Associated Press","Politics & Social Sciences:Politics & Government:Political Science","","2008 Second Presidential Debate: Barack Obama and John McCain (10/07/08)","","https://www.audible.com/author/Barack+Obama/B001H6OA8E","","2008 Second Presidential Debate Barack Obama and John McCain (10-07-08)","","","","","","","english","","","https://m.media-amazon.com/images/I/51RaZajtKyL._SL500_.jpg","","US","","","false"
"FR_APNS_081015","B002UZLDQI","https://www.audible.com/pd/B002UZLDQI","2008 Third Presidential Debate - Barack Obama and John McCain (10/15/08)","Barack Obama, John McCain","","The third presidential debate between Republican nominee Senator John McCain and Democratic nominee Senator Barack Obama took place at Hofstra University in Hempstead, New York, on October 15, 2008. The focus of this debate was domestic and economic issues and CBS's Bob Schieffer moderated.","The third presidential debate between Republican nominee Senator John McCain and Democratic nominee Senator Barack Obama took place at Hofstra University in Hempstead, New York....","01:29:00","3.7232142857142856","112","2008-10-16","2010-09-19","Associated Press","Politics & Social Sciences:Politics & Government:Political Science","","2008 Third Presidential Debate","","https://www.audible.com/author/Barack+Obama/B001H6OA8E","","2008 Third Presidential Debate","","","","","","","english","","","https://m.media-amazon.com/images/I/51VgKbWbvyS._SL500_.jpg","","US","","","false"
"FR_APNS_081002","B002UZNA0U","https://www.audible.com/pd/B002UZNA0U","2008 Vice Presidential Debate - Sarah Palin and Joe Biden (10/02/08)","Sarah Palin, Joe Biden","","The Vice Presidential debate between Republican Vice Presidential nominee Governor Sarah Palin and Democratic Vice Presidential nominee Senator Joe Biden took place at Washington University, St. Louis, Missouri, on October 2, 2008. The debate consisted of both foreign and domestic policy questions and PBS's Gwen Ifill moderated.","The Vice Presidential debate between Republican Vice Presidential nominee Governor Sarah Palin and Democratic Vice Presidential nominee Senator Joe Biden took place at Washington University....","01:31:00","3.5074626865671643","134","2008-10-03","2010-09-19","Associated Press","Politics & Social Sciences:Politics & Government:Political Science","","2008 Vice Presidential Debate","","","","2008 Vice Presidential Debate","","","","","","","english","","","https://m.media-amazon.com/images/I/61dO8W89oDL._SL500_.jpg","","US","","","false"
"BK_BRLL_013606","1713560798","https://www.audible.com/pd/1713560798","2043...(A Merman I Should Turn to Be) - Black Stars","Nisi Shawl","LeVar Burton","<p>African-descended USians are finally obtaining reparations - underwater. Plunge into the action of a visionary future by the award-winning author of <i>Everfair</i>, with narration by LeVar Burton (<i>Star Trek: The Next Generation</i>).</p> <p>Five miles off the South Carolina coast, Darden and Catherina are getting their promised forty acres, all of it undersea. Like every Black “mer,” they’ve been experimentally modified to adapt to their new subaquatic home - and have met with extreme resistance from white supremacists. Darden has an inspired plan for resolution. For both those on land and the webbed bottom-dwellers below, Darden is hoping to change the wave of the future. </p> <p><i>Nisi Shawl’s</i> 2043 . . . (A Merman I Should Turn to Be) <i>is part of </i>Black Stars<i>, a multi-dimensional collection of speculative fiction from Black authors. Each story is a world much like our own. Read or listen to them in a single sitting.</i></p>","<p>African-descended USians are finally obtaining reparations - underwater. Plunge into the action of a visionary future by the award-winning author of <i>Everfair</i>, with narration by LeVar Burton....</p>","01:16:00","3.5652173913043477","115","2021-08-31","2021-09-20","Amazon Original Stories","Literature & Fiction:African American","","2043...(A Merman I Should Turn to Be)","","https://www.audible.com/author/Nisi+Shawl/B0027ICV78","","2043...(A Merman I Should Turn to Be)","","https://www.audible.com/series/Black-Stars-Audiobook/B099NRVS4Q","Black Stars","","","false","english","","","https://m.media-amazon.com/images/I/51s0QdgovML._SL500_.jpg","","US","","","false"
"BK_BRLL_007679","B018WIYSGS","https://www.audible.com/pd/B018WIYSGS","3 Truths and a Lie - A Detective D. D. Warren Story","Lisa Gardner","Kirsten Potter","<p>In Lisa Gardner's second short story, after the <i>New York Times</i> bestseller <i>The 7th Month</i>, Detective D.D. Warren takes on her most intimidating assignment yet: a fifty-minute class meant to educate a horde of bloodthirsty thriller writers on the ways of actual police work. Yet sometimes life really does imitate fiction, as D.D. takes the writers through the reality of one of her most twisted cases - a case that involves a seedy motel room, drugs, prostitution...and a severed leg. </p> <p>With Gardner's trademark suspense, sharp observations, and thrilling storytelling, <i>3 Truths and a Lie</i> is a fascinating chapter in D.D.'s storied career. </p>","Detective D.D. Warren takes on her most intimidating assignment yet: a fifty-minute class meant to educate a horde of bloodthirsty thriller writers on the ways of actual police work....","01:40:00","4.023871302542813","1927","2016-01-05","2016-01-05","Brilliance Audio","Mystery, Thriller & Suspense:Mystery:Police Procedurals","","3 Truths and a Lie","","https://www.audible.com/author/Lisa+Gardner/B000APTQPU","","3 Truths and a Lie","","https://www.audible.com/series/Detective-DD-Warren-Audiobook/B005NACQ8Q","A D.D. Warren and Flora Dane Novel","7.5","","false","english","","","https://m.media-amazon.com/images/I/51Sy3k3hrPL._SL500_.jpg","","US","","","false"
"BK_AREN_004261","1250259800","https://www.audible.com/pd/1250259800","A Bad Day for Sunshine - A Novel","Darynda Jones","Lorelei King","<p><b>“This suspenseful and witty first novel in a new series is a perfect match for narrator Lorelei King."" (</b><b><i>Booklist</i></b><b>) </b></p> <p><b>""Narrator Lorelei King works well with the subtly snarky style of author Darynda Jones...Listeners will look forward to the next installment of this new series, as some mysteries are solved, and others remain."" (</b><b><i>AudioFile Magazine</i></b><b>) </b></p> <p><b><i>New York Times</i></b><b> best-selling author Darynda Jones is back with the first novel in the brand-new snarky, sassy, wickedly fun Sunshine Vicram series - </b><b><i>A Bad Day for Sunshine</i></b><b>! </b></p> <p>Sheriff Sunshine Vicram finds her cup o’ joe more than half full when the small village of Del Sol, New Mexico, becomes the center of national attention for a kidnapper on the loose. </p> <p>Del Sol, New Mexico is known for three things: its fry-an-egg-on-the-cement summers, strong cups of coffee - and, now, a nationwide manhunt? Del Sol native Sunshine Vicram has returned to town as the elected sheriff - thanks to her adorably meddlesome parents who nominated her - and she expects her biggest crime wave to involve an elderly flasher named Doug. But a teenage girl is missing, a kidnapper is on the loose, and all of this is reminding Sunshine why she left Del Sol in the first place. Add to that the trouble at her daughter’s new school, plus and a kidnapped prized rooster named Puff Daddy, and, well, the forecast looks anything but sunny. </p> <p>But even clouds have their silver linings. This one's got Levi, Sunshine's sexy, almost-old-flame, and a fiery-hot US Marshal. </p> <p>With temperatures rising everywhere she turns, Del Sol's normally cool-minded sheriff is finding herself knee-deep in drama and danger. Can Sunshine face the call of duty - and find the kidnapper who's terrorizing her beloved hometown - without falling head over high heels in love...or worse? </p> <p><b>A Macmillan Audio production from St. Martin's Press </b></p> <p>""Laugh-out-loud funny, intensely suspenseful, page-turning fun."" (<i>New York Times</i> best-selling author Allison Brennan) </p> <p>""<i>A Bad Day For Sunshine</i> is a great day for the rest of us."" (<i>New York Times</i> best-selling author Lee Child)</p>","<p>Del Sol, New Mexico is known for three things: its fry-an-egg-on-the-cement summers, its strong cups of coffee - and, now, a nationwide manhunt? Del Sol native Sunshine Vicram has returned to town as the elected sheriff....</p>","11:40:00","4.697007481296758","2406","2020-04-07","2020-04-10","Macmillan Audio","Literature & Fiction:Genre Fiction:Small Town & Rural","","A Bad Day for Sunshine","","https://www.audible.com/author/Darynda+Jones/B003ZX4LJK","","A Bad Day for Sunshine","","https://www.audible.com/series/Sunshine-Vicram-Audiobook/B07TD9JHYG","Sunshine Vicram","1","","false","english","","","https://m.media-amazon.com/images/I/519EH7KOrQL._SL500_.jpg","","US","","","false"
"BK_RAND_007401","0804128847","https://www.audible.com/pd/0804128847","A Blight of Blackwings - The Seven Kennings, Book 2","Kevin Hearne","Luke Daniels, Xe Sands","<p><b>From the </b><b><i>New York Times </i></b><b>best-selling creator of the Iron Druid Chronicles comes the highly anticipated sequel to</b><b><i> A Plague of Giants</i></b><b>: A world-breaking war - an invasion of giant warriors - inspires a movement to fight back.</b></p> <p><b>Soldier and avenger</b></p> <p><b>Daryck </b>is from a city that was devastated by the war with the Bone Giants, and now he and a band of warriors seek revenge against the giants for the loved ones they’ve lost. But will vengeance be enough to salve their grief?</p> <p><b>Dreamer and leader</b></p> <p><b>Hanima </b>is part of a new generation with extraordinary magical talents: She can speak to fantastical animals. But when this gift becomes a threat to the powers-that-be, Hanima becomes the leader of a movement to use this magic to bring power to the people.</p> <p><b>Sister and seeker</b></p> <p><b>Koesha</b> is the captain of an all-female crew on a perilous voyage to explore unknown waters. Though her crew is seeking a path around the globe, Koesha is also looking for her sister, lost at sea two years ago. But what lies beyond the edges of the map is far more dangerous than storms and sea monsters....</p> <p>In this sequel to <i>A Plague of Giants</i>, these characters and more will become the voices of a new generation bringing hope and revolution to a war-torn world.</p> <p><b>Don’t miss any of Kevin Hearne’s action-packed Seven Kennings series<br /> </b><i>A Plague of Giants</i> • <i>A Blight of Blackwings</i> • <i>A Curse of Krakens</i> (coming later!)</p>","<p>In this sequel to <i>A Plague of Giants</i>, these characters and more will become the voices of a new generation bringing hope and revolution to a war-torn world....</p>","20:10:00","4.769964243146603","839","2020-02-04","2020-02-04","Random House Audio","Literature & Fiction:Action & Adventure","","A Blight of Blackwings","","https://www.audible.com/author/Kevin+Hearne/B004FR1V8O","","A Blight of Blackwings","","https://www.audible.com/series/The-Seven-Kennings-Audiobook/B07SYBZ6ZB","The Seven Kennings","2","","false","english","","","https://m.media-amazon.com/images/I/51NxAlrIdDL._SL500_.jpg","","US","","","false"
"MS_ORIG_000213","B088G17QG1","https://www.audible.com/pd/B088G17QG1","A Calm, Restful Place","Agapi Stassinopoulos","Agapi Stassinopoulos","<p>Let the hush of ocean waves, soft music, and the warm voice of Agapi Stassinopoulos help you envision a state of harmonious calm and put the stresses of the day to bed. Agapi, the meditation guide for Thrive Global (Arianna Huffington's wellness and technology company), has dedicated her life to helping people live more mindful and open-hearted lives. She regularly leads meditation trainings for major corporations like Nike and Starbucks, but here it's just you and her. </p> <p>Guided by leading experts and personalities in wellness, sleep meditations are brief listens focused specifically on helping you decompress before bed. They don't require any previous experience - they're easy to get into and designed to help you take a moment at day’s end to just relax.  </p> <p>This title is part of The Audible Sleep Collection, exclusive audio experiences created to invite relaxation and sleep. New and free for members. Brought to you in collaboration with Thrive Global.</p>","<p>Let the hush of ocean waves, soft music, and the warm voice of Agapi Stassinopoulos help you envision a state of harmonious calm and put the stresses of the day to bed....</p>","00:07:00","4.345762711864407","590","2020-05-14","2020-05-15","Audible Originals","Health & Wellness:Alternative & Complementary Medicine:Meditation","","A Calm, Restful Place","","https://www.audible.com/author/Agapi+Stassinopoulos/B001H6L2WQ","","A Calm, Restful Place","","","","","","","english","","","https://m.media-amazon.com/images/I/41h3CjrQ32L._SL500_.jpg","","US","","","false"
