Added,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,Asin,Isbn 10,Isbn 13,Summary,People Also Bought,Store Page Url,Sample,Web Player,Cover,Search In Goodreads
313,The Sandman: Act II,The Sandman: Act II,The Sandman (book 2),2,"In the absolutely packed Act II, the dark fantasy resumes and the Sandman expands into the French Revolution, ancient Rome, 19th-century San Francisco, eighth-century Baghdad, and beyond....","Neil Gaiman, Dirk Maggs","Neil Gaiman, James McAvoy, Emma Corrin, Brian Cox, Kat Dennings, John Lithgow, Bill Nighy",,Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"13h 47m ",5h 20m left,2021-09-22,Audible Originals,,4.8,9120,,Original Recording Audiobook,English,,,,,true,,,B098TWVZVD,,,"<p><i>Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised.</i></p> <p>Enter the Dreaming again as the blockbuster audio adaptation of “the greatest epic in the history of comic books” continues in <i>The Sandman: Act II</i>. James McAvoy returns to voice Morpheus, the Lord of Dreams, in this sequel to the number-one <i>New York Times</i> audio best seller. Journey into a world of myths, imagination, and terror based on the best-selling DC comic books and graphic novels written by Neil Gaiman (returning as the Narrator), and lose yourself in another groundbreaking, immersive drama adapted and directed by the award-winning audio master Dirk Maggs.</p> <p>In the absolutely packed Act II, the dark fantasy resumes and the Sandman expands into the French Revolution, ancient Rome, 19th-century San Francisco, eighth-century Baghdad, and beyond. New and familiar characters abound, voiced by a bright mix of performers, including Kat Dennings, Regé-Jean Page, Emma Corrin, Michael Sheen, Kristen Schaal, Brian Cox, John Lithgow, Jeffrey Wright, and so many more, including fan-favorite narrators Simon Vance and Ray Porter.</p> <p>Just close your eyes and listen again as the greatest epic continues.</p> <p>Act II of the audio series <i>The Sandman</i> adapts collected volumes four (<i>Season of Mists</i>) and five (<i>A Game of You</i>) of the comics in their entirety, and most of volume six (<i>Fables &amp; Reflections</i>).</p>","Good Omens, American Gods: The Tenth Anniversary Edition (A Full Cast Production), Neverwhere, Neverwhere, Dune, Project Hail Mary, The Eye of the World, Trigger Warning, Lovecraft's Monsters, The Last Wish, The Graveyard Book: Full-Cast Production, Smoke and Mirrors, Billy Summers, The Complete Fiction of H.P. Lovecraft, Stardust, The Neil Gaiman Reader, The Name of the Wind, The Fellowship of the Ring",https://audible.com/pd/B098TWVZVD?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/or/orig/001598/or_orig_001598_sample.mp3,https://www.audible.com/webplayer?asin=B098TWVZVD,https://m.media-amazon.com/images/I/51bJGmUXS9L._SL500_.jpg,https://www.goodreads.com/search?q=Neil%20Gaiman%20-%20The%20Sandman%3A%20Act%20II
312,"The Copper Gauntlet: Magisterium, Book 2",The Copper Gauntlet,The Magisterium (book 2),2,"Callum Hunt's summer break isn't like other kids'. His closest companion is a Chaos-ridden wolf, Havoc. His father suspects him of being secretly evil....","Holly Black, Cassandra Clare",Paul Boehmer,"Children's Audiobooks, Action & Adventure",Children's Audiobooks > Science Fiction & Fantasy,Children's Audiobooks,Science Fiction & Fantasy,"8h 21m ",Finished,2015-09-01,Listening Library,,4.6,1279,,Unabridged Audiobook,English,available,,,,true,,,B012EHSKX0,,,"<p>Callum Hunt's summer break isn't like other kids'. His closest companion is a Chaos-ridden wolf, Havoc. His father suspects him of being secretly evil. And, of course, most kids aren't heading back to the magical world of the Magisterium in the fall. </p> <p>It's not easy for Call...and it gets even harder after he checks out his basement and discovers that his dad might be trying to destroy both him and Havoc. </p> <p>Call escapes to the Magisterium - but things only intensify there. The Alkahest - a copper gauntlet capable of separating certain magicians from their magic - has been stolen. And in their search to discover the culprit, Call and his friends, Aaron and Tamara, awaken the attention of some very dangerous foes - and get closer to an even more dangerous truth. </p> <p>As the mysteries of the Magisterium deepen and widen, best-selling authors Holly Black and Cassandra Clare take listeners on an extraordinary journey through one boy's conflict - and a whole world's fate.</p>","The Bronze Key, The Red Scrolls of Magic, Chain of Iron, Son of the Dawn, Lady Midnight, The Cruel Prince, Ghosts of the Shadow Market, The Bane Chronicles, White Cat, City of Bones, The Darkest Part of the Forest, The Coldest Girl in Coldtown, Valiant, Dragonwatch, The Novice, Harry Potter and the Sorcerer's Stone, Book 1, Seven Wonders, Book 1: The Colossus Rises, The Lightning Thief",https://audible.com/pd/B012EHSKX0?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/lili/001895/bk_lili_001895_sample.mp3,https://www.audible.com/webplayer?asin=B012EHSKX0,https://m.media-amazon.com/images/I/515+4lxbtQL._SL500_.jpg,https://www.goodreads.com/search?q=Holly%20Black%20-%20The%20Copper%20Gauntlet
311,Fool: A Novel,Fool,Fool (book 1),1,"Christopher Moore, much beloved scrivener and peerless literary jester, now takes on no less than the legendary Bard himself....",Christopher Moore,Euan Morton,"Humorous, Satire",Literature & Fiction > Humor & Satire,Literature & Fiction,Humor & Satire,"8h 40m ",5h 13m left,2009-02-10,HarperAudio,,4.4,4650,,Unabridged Audiobook,English,available,,,,true,,,B002V1O3S6,,,"Christopher Moore, much beloved scrivener and peerless literary jester, now takes on no less than the legendary Bard himself (with the utmost humility and respect) with a twisted and insanely funny tale of a moronic monarch and his deceitful daughters, as seen through the eyes of a man wearing a codpiece and bells on his head. <p> Pocket has been Lear's cherished fool for years. So naturally Pocket is at his brainless, elderly liege's side when Lear demands that his kids swear to him their undying love and devotion. Of course Goneril and Regan are only too happy to brownnose Dad. But Cordelia believes that her father's request is kind of...well...stupid, and her blunt honesty ends up costing her her rightful share of the kingdom and earns her a banishment to boot. </p> <p> Well now the bangers and mash have really hit the fan. And the only person who can possibly make things right . . . is Pocket. Now he's going to have do some very fancy maneuvering: cast some spells, start a war or two - the usual stuff - to get Cordelia back into Daddy Lear's good graces, to derail the fiendish power plays of Cordelia's twisted sisters, and to shag every lusciously shaggable wench who's amenable to shagging along the way. </p> <p> Pocket may be a fool...but he's definitely not an idiot.</p>","The Serpent of Venice, Lamb, Noir, Practical Demonkeeping, You Suck, Island of the Sequined Love Nun, Good Omens, Coyote Blue, Sacre Bleu, Fluke, Troy, Jonathan Strange & Mr. Norrell, Hero Forged, Ex-Communication, An Unattractive Vampire, The Hitchhiker's Guide to the Galaxy, Macbeth: A Novel, Heads Will Roll",https://audible.com/pd/B002V1O3S6?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/harp/001797/bk_harp_001797_sample.mp3,https://www.audible.com/webplayer?asin=B002V1O3S6,https://m.media-amazon.com/images/I/510O4GeM5wL._SL500_.jpg,https://www.goodreads.com/search?q=Christopher%20Moore%20-%20Fool
310,Secondhand Souls: A Novel,Secondhand Souls,Grim Reaper (book 2),2,"Something really strange is happening in the City by the Bay. People are dying, but their souls are not being collected. Someone - or something - is stealing them....",Christopher Moore,Fisher Stevens,"Humorous, Contemporary, Paranormal",Literature & Fiction > Humor & Satire,Literature & Fiction,Humor & Satire,"10h 34m ",Finished,2015-08-25,HarperAudio,,4.5,5454,,Unabridged Audiobook,English,available,,,,true,,,B00XQS0AS0,,,"<p>In San Francisco, the souls of the dead are mysteriously disappearing - and you know that can't be good - in <i>New York Times</i> best-selling author Christopher Moore's delightfully funny sequel to <i>A Dirty Job</i>. </p> <p>Something really strange is happening in the City by the Bay. People are dying, but their souls are not being collected. Someone - or something - is stealing them. No one knows where they are going or why, but it has something to do with that big orange bridge. </p> <p>Death merchant Charlie Asher is just as flummoxed as everyone else. He's trapped in the body of a 14-inch-tall ""meat puppet"", waiting for his Buddhist nun girlfriend, Audrey, to find him a suitable new body to play host. </p> <p>To get to the bottom of this abomination, a motley crew of heroes will band together: the seven-foot-tall death merchant Minty Fresh, retired policeman-turned-bookseller Alphonse Rivera, the emperor of San Francisco and his dogs, and Lily, the former Goth girl. Now if only they can get little Sophie to stop babbling about the coming battle for the very soul of humankind. </p>","Bloodsucking Fiends, Lamb, Island of the Sequined Love Nun, Noir, Sacre Bleu, Coyote Blue, Fluke, The Lust Lizard of Melancholy Cove, John Dies at the End, Fragile Things, Smoke and Mirrors, Gil's All Fright Diner, Dodger, The Big Over Easy, Dreadful Company, Harry Potter and the Sorcerer's Stone, Book 1, The Hunger Games: Special Edition, The Fellowship of the Ring",https://audible.com/pd/B00XQS0AS0?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/harp/004564/bk_harp_004564_sample.mp3,https://www.audible.com/webplayer?asin=B00XQS0AS0,https://m.media-amazon.com/images/I/51z-Y5Z30zL._SL500_.jpg,https://www.goodreads.com/search?q=Christopher%20Moore%20-%20Secondhand%20Souls
309,A Dirty Job,A Dirty Job,Grim Reaper (book 1),1,"Charlie Asher has been recruited for a new job, an unpleasant but utterly necessary one: Death....",Christopher Moore,Fisher Stevens,"Occult, Humorous, Satire, Contemporary",Literature & Fiction > Horror,Literature & Fiction,Horror,"11h 50m ",Finished,2006-01-01,HarperAudio,,4.2,12171,,Unabridged Audiobook,English,available,,,,,,,B002V0QR4K,,,"Charlie Asher is a pretty normal guy. A little hapless, somewhat neurotic, sort of a hypochondriac. He's what's known as a Beta Male: the kind of fellow who makes his way through life by being careful and constant, you know, the one who's always there to pick up the pieces when the girl gets dumped by the bigger/taller/stronger Alpha Male. <p>But Charlie's been lucky. He owns a building in the heart of San Francisco, and runs a secondhand store with the help of a couple of loyal, if marginally insane, employees. He's married to a bright and pretty woman who actually loves him for his normalcy. And she, Rachel, is about to have their first child.</p> <p>Yes, Charlie's doing okay for a Beta. That is, until the day his daughter, Sophie, is born. Just as Charlie, exhausted from the birth, turns to go home, he sees a strange man in mint-green golf wear at Rachel's hospital bedside, a man who claims that no one should be able to see him. But see him Charlie does, and from here on out, things get really weird.</p> <p>People start dropping dead around him, giant ravens perch on his building, and it seems that everywhere he goes, a dark presence whispers to him from under the streets. Strange names start appearing on his nightstand notepad, and before he knows it, those people end up dead, too. Yup, it seems that Charlie Asher has been recruited for a new job, an unpleasant but utterly necessary one: Death. It's a dirty job. But hey, somebody's gotta do it.</p>","Lamb, Bloodsucking Fiends, Noir, Island of the Sequined Love Nun, Practical Demonkeeping, Sacre Bleu, The Hitchhiker's Guide to the Galaxy, Good Omens, Fluke, Coyote Blue, Skinny Dip, The Graveyard Book: Full-Cast Production, Monster, The Help, 24/7 Demon Mart: Publisher's Pack, Gil's All Fright Diner, Andrea Vernon and the Corporation for UltraHuman Protection, John Dies at the End",https://audible.com/pd/B002V0QR4K?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/harp/001233/bk_harp_001233_sample.mp3,https://www.audible.com/webplayer?asin=B002V0QR4K,https://m.media-amazon.com/images/I/51oRz-Iv+6L._SL500_.jpg,https://www.goodreads.com/search?q=Christopher%20Moore%20-%20A%20Dirty%20Job
308,"Unwind: Unwind Dystology, Book 1",Unwind,Unwind (book 1),1,"After America’s Second Civil War, the Pro-Choice and Pro-Life armies came to an agreement. According to their Bill of Life, human life may not be terminated from the moment of conception until the age of thirteen....",Neal Shusterman,Luke Daniels,"Death & Dying, Action & Adventure, Dystopian",Teen & Young Adult > Literature & Fiction,Teen & Young Adult,Literature & Fiction,"10h 9m ",14m left,2020-10-13,Simon & Schuster Audio,,4.7,556,,Unabridged Audiobook,English,available,,,,true,,,1797108220,,,"<p><b>Three teens fight for their lives and each other in this breathtakingly suspenseful first book in the twisted, </b><b><i>New York Times </i></b><b>best-selling Unwind Dystology series by Neal Shusterman.</b></p> <p>After America’s Second Civil War, the Pro-Choice and Pro-Life armies came to an agreement. According to their Bill of Life, human life may not be terminated from the moment of conception until the age of 13. But between the ages of 13 and 18, the child may be gotten rid of by their parent through a process called “unwinding”.</p> <p>By repurposing a teen’s organs and other body parts in living recipients, the unwound child’s life doesn’t <i>technically</i> end. According to society’s leaders, unwinding leads to a healthier and safer community, as troublesome and unwanted teens are used for the greater good.</p> <p>Curtis is a rebel whose unwinding was ordered by his parents. Rita, a ward of the state, has been slated for unwinding due to cost cutting. And Lev, his parents’ tenth child, has been destined for unwinding since birth as a religious tithe. As their paths intersect, they start to fight for their own destinies. But do they stand a chance of escaping their fate or proving their lives are worth saving?</p>","Unstrung, UnBound, Everlost, Roxy, Challenger Deep, Bruiser, Prisoner B-3087, Deja Dead, Ground Zero, Steelheart, Red Rising, The Hunger Games: Special Edition, Dry, Full Tilt, Game Changer, Uglies, Harry Potter and the Sorcerer's Stone, Book 1, Delirium",https://audible.com/pd/1797108220?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/sans/010517/bk_sans_010517_sample.mp3,https://www.audible.com/webplayer?asin=1797108220,https://m.media-amazon.com/images/I/41nu1lNVZ6L._SL500_.jpg,https://www.goodreads.com/search?q=Neal%20Shusterman%20-%20Unwind
307,The Toll,The Toll,Arc of a Scythe (book 3),3,"In the finale to the best-selling trilogy, dictators, prophets, and tensions rise. In a world that’s conquered death, will humanity finally be torn asunder by the immortal beings it created? It seems like nothing stands between Scythe Goddard and absolute dominion....",Neal Shusterman,Greg Tremblay,"Death & Dying, Action & Adventure",Teen & Young Adult > Literature & Fiction,Teen & Young Adult,Literature & Fiction,"15h 22m ",12h 21m left,2019-11-05,Audible Studios,,4.6,7012,,Unabridged Audiobook,English,available,,,,,,,B07ZJSPHRC,,,"<p>In the highly anticipated finale to the <i>New York Times</i> best-selling trilogy, dictators, prophets, and tensions rise. In a world that’s conquered death, will humanity finally be torn asunder by the immortal beings it created?&nbsp;</p> <p>Citra and Rowan have disappeared. Endura is gone. It seems like nothing stands between Scythe Goddard and absolute dominion over the world scythedom. With the silence of the Thunderhead and the reverberations of the Great Resonance still shaking the earth to its core, the question remains: Is there anyone left who can stop him?&nbsp;</p> <p>The answer lies in the Tone, the Toll, and the Thunder.&nbsp;</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b>&nbsp;&nbsp;</p>","Dry, Everlost, Game Changer, Project Hail Mary, Roxy, Red Rising, Renegades, The Priory of the Orange Tree, The Way of Kings, Throne of Glass, The Hunger Games: Special Edition, The Final Empire, The Shadow of What Was Lost, Inheritance Games, Warbreaker, Skyward, Harry Potter and the Sorcerer's Stone, Book 1, UnBound",https://audible.com/pd/B07ZJSPHRC?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/adbl/029809/bk_adbl_029809_sample.mp3,https://www.audible.com/webplayer?asin=B07ZJSPHRC,https://m.media-amazon.com/images/I/51LF56oF34L._SL500_.jpg,https://www.goodreads.com/search?q=Neal%20Shusterman%20-%20The%20Toll
306,Wizard for Hire,Wizard for Hire,Wizard for Hire (book 1),1,"Fourteen-year-old Ozzy lives near Portland, Oregon, and is desperate for help. His scientist parents have been kidnapped after discovering a formula that enables mind control. Their work was so top secret that Ozzy is afraid to go to the police, but without help....",Obert Skye,Kirby Heyborne,"Children's Audiobooks, Family Life, Humorous Fiction, Action & Adventure",Children's Audiobooks > Literature & Fiction,Children's Audiobooks,Literature & Fiction,"9h 32m ",8h 54m left,2018-03-06,"Blackstone Audio, Inc.",,4.5,2186,,Unabridged Audiobook,English,available,true,,,,,,B079TXWPTD,,,"<p>Fourteen-year-old Ozzy lives near Portland, Oregon, and is desperate for help. His scientist parents have been kidnapped after discovering a formula that enables mind control. Their work was so top secret that Ozzy is afraid to go to the police, but without help, he fears he'll never find his parents. Then he stumbles across a classified ad in the local newspaper that says ""Wizard for Hire. Call 555-SPEL."" Ozzy has read about wizards in books like Harry Potter, but wizards couldn't actually exist today, could they? After Ozzy meets the wizard Labyrinth - a.k.a. Rin - he's even more skeptical.</p> <p>Sure, Rin dresses like a wizard, but the short robe and high-top tennis shoes seem unorthodox, as does Rin's habit of writing notes on his shoes and eating breakfast for every meal. Plus, Rin doesn't even cast any magic spells, which means that the unexplained coincidences that start happening around Ozzy are just that - coincidences.</p> <p>With the help of a robotic talking raven invented by Ozzy's father, a kind and curious girl at school who decides to help Ozzy, and of course, a self-proclaimed wizard who may or may not have a magical wand, Ozzy begins an unforgettable quest that will lead him closer to the answers he desperately seeks about his missing parents.</p>","Apprentice Needed, Dragonwatch, Leven Thumps and the Gateway to Foo, Pillage, Slathbog's Gold, The Eternity Elixir, Sky Raiders, Water Keep, Harry Potter and the Sorcerer's Stone, Book 1, Fires of Invention, Power, The Menagerie, The Revenge of Magic, Arcanum Unbounded: The Cosmere Collection, The Keepers: The Box and the Dragonfly, Skyward, Storm Front, The Institute",https://audible.com/pd/B079TXWPTD?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/blak/011415/bk_blak_011415_sample.mp3,https://www.audible.com/webplayer?asin=B079TXWPTD,https://m.media-amazon.com/images/I/615Wh-LxAFL._SL500_.jpg,https://www.goodreads.com/search?q=Obert%20Skye%20-%20Wizard%20for%20Hire
305,Thunderhead: Arc of a Scythe,Thunderhead,Arc of a Scythe (book 2),2,"Rowan and Citra take opposite stances on the morality of the Scythedom, putting them at odds, in the chilling sequel to the Printz Honor Book Scythe....",Neal Shusterman,Greg Tremblay,"Death & Dying, Thrillers & Suspense, Dystopian",Teen & Young Adult > Literature & Fiction,Teen & Young Adult,Literature & Fiction,"13h 2m ",Finished,2018-01-09,Audible Studios,,4.8,10702,,Unabridged Audiobook,English,available,,,,true,,,B078PLF8MK,,,"<p>Rowan and Citra take opposite stances on the morality of the Scythedom, putting them at odds, in the chilling sequel to the Printz Honor Book <i>Scythe</i> from <i>New York Times</i> best seller Neal Shusterman, author of the <i>Unwind</i> dystology. </p> <p>The Thunderhead cannot interfere in the affairs of the Scythedom. All it can do is observe — it does not like what it sees. </p> <p>A year has passed since Rowan had gone off grid. Since then, he has become an urban legend, a vigilante snuffing out corrupt scythes in a trial by fire. His story is told in whispers across the continent. </p> <p>As Scythe Anastasia, Citra gleans with compassion and openly challenges the ideals of the ""new order"". But when her life is threatened and her methods questioned, it becomes clear that not everyone is open to the change. </p> <p>Will the Thunderhead intervene? </p> <p>Or will it simply watch as this perfect world begins to unravel? </p>","Renegades, The Hunger Games: Special Edition, Steelheart, Project Hail Mary, Red Rising, The Final Empire, Skyward, Harry Potter and the Sorcerer's Stone, Book 1, Everlost, Roxy, Dry, UnBound, The Hike, The Fellowship of the Ring, Inheritance Games, The Way of Kings, Warbreaker, Leviathan Wakes",https://audible.com/pd/B078PLF8MK?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/adbl/029808/bk_adbl_029808_sample.mp3,https://www.audible.com/webplayer?asin=B078PLF8MK,https://m.media-amazon.com/images/I/51naGoY8DnL._SL500_.jpg,https://www.goodreads.com/search?q=Neal%20Shusterman%20-%20Thunderhead
304,The Midnight Library: A Novel,The Midnight Library,,,"Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality....",Matt Haig,Carey Mulligan,Time Travel,Science Fiction & Fantasy > Science Fiction,Science Fiction & Fantasy,Science Fiction,"8h 50m ",7h 22m left,2020-09-29,Penguin Audio,,4.6,40735,,Unabridged Audiobook,English,available,,,,true,,,059334023X,,,"<p><b>The number one </b><b><i>New York Times </i></b><b>best-selling worldwide phenomenon </b></p> <p><b>Winner of the Goodreads Choice Award for Fiction</b></p> <p><b>A Good Morning America Book Club Pick</b></p> <p><b><i>Independent (</i></b><b>London) 10 Best Books of the Year</b></p> <p><b>""A feel-good book guaranteed to lift your spirits."" (</b><b><i>The Washington Post</i></b><b>)</b></p> <p><b>The dazzling favorite about the choices that go into a life well lived, from the acclaimed author of </b><b><i>How to Stop Time </i></b><b>and</b><b><i> The Comfort Book</i></b><b>.</b></p> <p>Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. One tells the story of your life as it is, along with another book for the other life you could have lived if you had made a different choice at any point in your life. While we all wonder how our lives might have been, what if you had the chance to go to the library and see for yourself? Would any of these other lives truly be better?</p> <p>In <i>The Midnight Library</i>, Matt Haig's enchanting blockbuster novel, Nora Seed finds herself faced with this decision. Faced with the possibility of changing her life for a new one, following a different career, undoing old breakups, realizing her dreams of becoming a glaciologist; she must search within herself as she travels through the Midnight Library to decide what is truly fulfilling in life, and what makes it worth living in the first place.</p>","The Invisible Life of Addie LaRue, How to Stop Time, Anxious People, The Seven Husbands of Evelyn Hugo, The Last Thing He Told Me, The Guest List, The Lost Apothecary, The Lincoln Highway, The Four Winds, Apples Never Fall, The Humans, Where the Crawdads Sing, The Song of Achilles, Crying in H Mart, A Man Called Ove, Eleanor Oliphant Is Completely Fine, In Five Years, Circe",https://audible.com/pd/059334023X?ipRedirectOverride=true&overrideBaseCountry=true,https://samples.audible.com/bk/peng/005028/bk_peng_005028_sample.mp3,https://www.audible.com/webplayer?asin=059334023X,https://m.media-amazon.com/images/I/51WhLuOA-ML._SL500_.jpg,https://www.goodreads.com/search?q=Matt%20Haig%20-%20The%20Midnight%20Library
